,Brand,Model Name,Display Size,Operating System,Call Function,Bluetooth,Wi_Fi,GPS,Display_Type,Display_Resolution,Touchscreen,Water_Resistance,Battery_Life,Price
123,Y2H Enterprises D300,D300(D20) PLUS MULTI,4.0,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,50.0,5.0,499
125,Fire-Boltt Hulk 1.78,Hulk 1.78 inch,45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,1.0,7.0,2799
127,TECHOFFICIAL ID116 Touch,ID116 Touch Screen,1.33,Android & iOS,No,Yes,No,No,Other,140.0,Yes,,1.0,349
128,"Ambrane Marble 1.43""","Marble 1.43"" AMOLED",36.322,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1799
131,Noise Fuse 1.38'',Fuse 1.38'' Round,35.052,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,,7.0,1399
132,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,54900
133,Fire-Boltt Supernova 1.78,Supernova 1.78 AMOLED,45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,1.0,5.0,2799
135,StyCon T800 ultra,"T800 ultra smartwatch,",50.0,Android & iOS,Yes,Yes,Yes,No,Other,,Yes,,3.0,653
136,Fire-Boltt Jewel Luxury,Jewel Luxury Stainless,46.99,Android & iOS,Yes,Yes,No,No,IPS LCD,353.0,Yes,1.0,7.0,2999
137,Boult Drift BT,Drift BT Calling,42.925999999999995,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.5,7.0,1099
138,Itech DZ09 Original,DZ09 Original 4G,39.0,Android & iOS,Yes,Yes,No,Yes,HD,,Yes,10.0,3.0,1089
139,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,44900
141,beatXP Marv Neo,Marv Neo 1.85'',46.0,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1299
142,"beatXP Marv 1.85""","Marv 1.85"" HD",47.0,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.5,10.0,1199
144,AYANSHENTRPRISE ID 116,ID 116,140.0,Android,Yes,Yes,No,No,Other,240.0,Yes,,4.0,371
145,Bymaya S360 D20_ADVANCEHEART,S360 D20_ADVANCEHEART RATE,34.0,Android & iOS,No,Yes,No,No,IPS TFt,240.0,Yes,50.0,5.0,399
147,"Fire-Boltt Combat 1.95""","Combat 1.95"" Large",49.529999999999994,Android & iOS,Yes,Yes,No,No,IPS TFt,261.0,Yes,1.0,7.0,2199
148,Boult Cosmic 1.69,Cosmic 1.69 inch,42.925999999999995,Android & iOS,No,Yes,No,No,IPS TFt,260.0,Yes,1.0,10.0,1199
149,boAt Lunar Prime,Lunar Prime w/,35.3,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,10.0,2499
150,nkk IDS116 SMART,IDS116 SMART BRACELET,44.0,Android & iOS,No,Yes,No,No,Other,400.0,Yes,,24.0,431
154,SAMSTAR COLLECTION smartwatch,smartwatch T55 Series,45.0,Android & iOS,Yes,Yes,No,Yes,TFT LED,350.0,Yes,0.25,10.0,1569
155,Fire-Boltt Ninja Talk,Ninja Talk 1.39'',35.306,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,6.0,2499
159,VINJURI T800 Smart,T800 Smart Watch,49.0,Android & iOS,Yes,Yes,No,No,IPS LCD,1080.0,Yes,10.0,4.0,629
161,Batrix SmartWatch Touchscreen,SmartWatch Touchscreen TF,1.54,Android & iOS,Yes,Yes,No,No,Other,,Yes,,1.0,781
162,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,54900
164,Fastrack Revoltt FS1,Revoltt FS1 Pro|World's,49.78,Android & iOS,Yes,Yes,No,No,Super AMOLED,456.0,Yes,1.5,7.0,2499
165,boAt Wave Connect,Wave Connect with,42.672,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1499
166,Zenx Ultra 8,Ultra 8 Smartwatch,49.0,Android & iOS,Yes,Yes,No,No,HD,352.0,Yes,10.0,2.0,656
